AC021016.8	USP37
XPO1	EZH2
COL1A2	SGCE
AES	VIM
VIM	AES
SCARB1	APOA1
GOT2	MDH1B
MDH1B	GOT2
CCT3	TSSC1
TSSC1	CCT3
HSP90AA1	VDAC1
VDAC1	HSP90AA1
TMOD3	MAP1LC3B
PAK1	PCM1
TSHZ1	SMIM21
SMIM21	TSHZ1
PABPC3	EIF4A3
EIF4A3	PABPC3
CLIP1	RP11-324E6.4
RP11-324E6.4	CLIP1
ARRB2	ARHGAP21
ARHGAP21	ARRB2
KRT75	IQUB
IQUB	KRT75
NSMAF	FAM26D
FAM26D	NSMAF
HEXB	CTSA
MYO5B	MYO18A
MYO18A	MYO5B
EHHADH	ACAD10
ACAD10	EHHADH
KPNA5	TSEN54
TSEN54	KPNA5
RPS6KA2	STK11
STK11	RPS6KA2
RPL23A	C18orf32
C18orf32	RPL23A
PFKM	PFKP
PFKP	PFKM
SCAF1	PRR12
MYF6	TCF12
TCF12	MYF6
ZNF512B	ZBTB46
ZBTB46	ZNF512B
RP1-63G5.5	CARD10
ASF1B	CDAN1
CDAN1	ASF1B
PRMT1	NRIP1
NRIP1	PRMT1
FBN3	TGFBR3L
DDX56	MRPS5
MRPS5	DDX56
ATL3	RBKS
RBKS	ATL3
CDKN2B-AS1	PLIN4
KRT37	KRT76
KRT76	KRT37
CYTH1	CYTIP
CYTIP	CYTH1
DYNC1I1	MCC
CAPZA2	RBBP6
RBBP6	CAPZA2
SMAD4	ARID1B
ARID1B	SMAD4
BAG4	BCL2
PARP11	RNF166
RNF166	PARP11
RACGAP1	CBX8
CBX8	RACGAP1
ATM	NPAT
TRIM24	GTF2E1
EGFR	GOT1
GOT1	EGFR
KIAA1549	TRIM24
PIP4K2A	TMEM194A
TMEM194A	PIP4K2A
PKIA	DYNLL1
GNPNAT1	FHL2
HSD17B6	TATDN1
TATDN1	HSD17B6
APLNR	BTAF1
BTAF1	APLNR
RNMTL1	NXN
NXN	RNMTL1
PRKACB	CUL5
CUL5	PRKACB
ARSG	WIPI1
WIPI1	ARSG
CSNK1E	PRKD2
PRKD2	CSNK1E
MRPS7	ZNF707
ZNF707	MRPS7
KIF3B	POFUT1
GAD2	GOT2
GOT2	GAD2
EIF4G1	EIF4A1
SOX17	RPL38
TP53	USH2A
USH2A	TP53
ATP2B2	RAPGEF5
RAPGEF5	ATP2B2
CCNDBP1	MRPL15
MRPL15	CCNDBP1
BRAF	HDAC2
HDAC2	BRAF
FERMT2	FERMT3
FERMT3	FERMT2
MEOX2	ASB10
ASB10	MEOX2
MRPS6	MRPS5
MRPS5	MRPS6
SUGP2	MEF2B
MEF2B	SUGP2
CD9	CD81
EPHA2	PIK3R2
PELO	UBA3
UBA3	PELO
LRRC16B	PCK2
LSM1	LSM4
CCT3	P4HA2
P4HA2	CCT3
KAT5	LRIF1
LRIF1	KAT5
KPNA4	TGM2
TGM2	KPNA4
DAZAP2	METTL7A
METTL7A	DAZAP2
PRPF18	CARD10
CARD10	PRPF18
SRSF4	CD2BP2
CD2BP2	SRSF4
GPD2	SP1
SP1	GPD2
RUNX2	RB1
RB1	RUNX2
PRKCE	HSPB8
HSPB8	PRKCE
JUP	MRPS17
MRPS17	JUP
PLK1S1	DPYSL3
DNM2	SH3RF1
SH3RF1	DNM2
SIK2	C11orf57
C11orf57	SIK2
ACACA	MCC
MCC	ACACA
NEFM	NES
NES	NEFM
BCAS2	IKZF3
IKZF3	BCAS2
BRE	FOSL2
LGALS3	SNRPD2
SNRPD2	LGALS3
RPS15	UPF2
UPF2	RPS15
FAM181A-AS1	PRIMA1
DDB1	EEF2
EEF2	DDB1
ARHGEF4	MZT2A
CLTCL1	CLINT1
CLINT1	CLTCL1
B2M	DLGAP5
DLGAP5	B2M
SYNJ1	ITSN1
MRPL4	MRPL43
MRPL43	MRPL4
MAP2K7	C5orf42
C5orf42	MAP2K7
DNAJB6	LMBR1
LMBR1	DNAJB6
CHD3	PSMD14
PSMD14	CHD3
SYN2	HSPA8
SERINC1	VPS18
VPS18	SERINC1
NCBP2	ZC3H18
ZC3H18	NCBP2
PLRG1	PRKDC
PRKDC	PLRG1
MAPK3	PCF11
PCF11	MAPK3
ACTL8	VPS26B
VPS26B	ACTL8
NCBP2	CTNNBL1
CTNNBL1	NCBP2
EGFR	DCTN2
DCTN2	EGFR
PTCH1	CNNM1
CNNM1	PTCH1
KDM2A	CHMP4C
CHMP4C	KDM2A
RSPRY1	CETP
CETP	RSPRY1
PHB	MRPS22
MRPS22	PHB
TACC1	DTNBP1
DTNBP1	TACC1
GOPC	ATG9A
ATG9A	GOPC
PSG9	ZBTB44
ZBTB44	PSG9
PSMD6	RSF1
RSF1	PSMD6
CANT1	CYTH1
CYTH1	CANT1
YY1	KRTAP5-6
KRTAP5-6	YY1
TOMM7	FAM126A
ERBB2	PTPN11
PTPN11	ERBB2
HOTAIR	PDK1
SUCLA2	ZMYND19
ZMYND19	SUCLA2
CSNK1D	MAPT
MAPT	CSNK1D
AXIN2	ZNF580
ZNF580	AXIN2
ITGA2	SP1
SP1	ITGA2
ARHGAP21	PRTFDC1
PRTFDC1	ARHGAP21
ZNF490	ZNF44
ZNF44	ZNF490
RBM28	LYAR
LYAR	RBM28
PTCH1	APPBP2
APPBP2	PTCH1
CPM	GOLT1B
GOLT1B	CPM
PPP1CC	NUF2
NUF2	PPP1CC
PRKD2	SMAD1
MOV10	RPL15
RPL15	MOV10
MRPS17	MRPS23
MRPS23	MRPS17
TPM3	CREB3L4
MVP	PTEN
GSK3B	RPL36AL
IFI27L1	UNC79
UNC79	IFI27L1
CCDC3	UCMA
UCMA	CCDC3
PFAS	PRKAG2
PRKAG2	PFAS
POGLUT1	COX17
COX17	POGLUT1
DDB1	DAGLA
DAGLA	DDB1
RPL18	MAMSTR
MAMSTR	RPL18
ATM	BRCA2
BRCA2	ATM
HSPA4	DNMBP
DNMBP	HSPA4
MYO5B	CXXC1
GNB5	EIF3J
KRT34	PSMA1
PSMA1	KRT34
SNORA26	RRM2
RP3-400B16.1	ECI2
HNRNPL	RPL4
RPL4	HNRNPL
NCK1	UBR4
UBR4	NCK1
NCOA5	NR1D2
RP11-552F3.10	RP11-552F3.12
AGBL3	TMEM140
CLEC4GP1	INSR
INSR	CLEC4GP1
FAM189B	FNDC3B
FNDC3B	FAM189B
EPOR	ELAVL3
ELAVL3	EPOR
AKAP1	PRKAR2B
RUNX2	SMAD5
SMAD5	RUNX2
PRPF4B	C11orf57
C11orf57	PRPF4B
SIRT5	GFOD1
PROX1	SUMO1
SUMO1	PROX1
CCDC150	GTF3C3
PEX14	PNPLA3
PNPLA3	PEX14
CRK	WASL
WASL	CRK
IFNGR1	CD320
CD320	IFNGR1
PIK3R4	PIK3C3
AC108025.2	SOX11
EXOSC10	CHPF
PELO	RPL3
RPL3	PELO
NRAS	MTOR
MTOR	NRAS
BCL6	CUTC
CUTC	BCL6
MEOX2	DPF2
DPF2	MEOX2
ESR1	SP1
ZSWIM3	DNTTIP1
SEMA4C	ANKRD23
ANKRD23	SEMA4C
F11	GP1BA
GP1BA	F11
PITPNA	RTN4RL1
RTN4RL1	PITPNA
NCSTN	PLXDC2
PLXDC2	NCSTN
SMARCA4	REEP5
REEP5	SMARCA4
LASP1	CACNB1
CACNB1	LASP1
SLC13A2	SCAF4
SCAF4	SLC13A2
INSR	PRKCE
PRKCE	INSR
ZDHHC18	NUDC
LDB2	LMO3
LMO3	LDB2
MRPL4	MRPS9
MRPS9	MRPL4
RAB2A	AKAP12
AKAP12	RAB2A
PPP5C	SYMPK
SYMPK	PPP5C
SUN2	FBXL4
FBXL4	SUN2
PTK2	APC
HNF4A	MED10
MED10	HNF4A
CITF22-92A6.1	TTC38
UQCRFS1	VAPA
VAPA	UQCRFS1
MYC	SAE1
GTF2B	POU3F2
TXNL4A	IFFO1
IFFO1	TXNL4A
LEO1	MRPL41
MRPL41	LEO1
ABLIM3	KANK2
KANK2	ABLIM3
PLSCR1	REEP5
REEP5	PLSCR1
HERC3	FAM189B
FAM189B	HERC3
SEC31A	THAP9
HOTAIR	HSF5
IL17A	TXNDC15
TXNDC15	IL17A
DCC	MAZ
ATL3	GPR114
GPR114	ATL3
SPATA25	SYS1-DBNDD2
SYS1-DBNDD2	SPATA25
CCR4	CCL3
CCL3	CCR4
NSF	PRKAB1
PRKAB1	NSF
PLCB3	PRKCA
CYP26C1	MYOF
MYOF	CYP26C1
GTF2A2	TAF3
TAF3	GTF2A2
CDK6	STMN1
STMN1	CDK6
CNNM3	ZRANB1
