AC021016.8	USP37
ZNF326	COPA
PDCD1	XPO7
XPO7	PDCD1
SOCS5	ATP6V1E2
DNAJA1	B4GALT1
B4GALT1	DNAJA1
STIL	C6orf141
C6orf141	STIL
AKT1	NEDD4L
NEDD4L	AKT1
TBC1D22A	CERK
CERK	TBC1D22A
ABL1	PLSCR4
PLSCR4	ABL1
MRPS14	TNN
TNN	MRPS14
SUV420H1	MRPL21
ADCK3	CDC42BPA
CDC42BPA	ADCK3
ZNF217	RCOR3
RCOR3	ZNF217
KRAS	DCLK2
DCLK2	KRAS
EEF1A1	UBE2E3
UBE2E3	EEF1A1
IL1R2	DSTYK
DSTYK	IL1R2
DLGAP4	MPP5
MPP5	DLGAP4
EPRS	PHB2
PHB2	EPRS
RPS9	DSTYK
DSTYK	RPS9
RARA	KAT2B
KAT2B	RARA
IL6R	SRC
CLINT1	STON2
STON2	CLINT1
TCF4	NEK8
NEK8	TCF4
FASLG	ARHGAP9
ARHGAP9	FASLG
RBBP5	SAP18
SAP18	RBBP5
ATXN1	GPATCH8
GPATCH8	ATXN1
PLEKHM2	DNAJC16
DNAJC16	PLEKHM2
HNF1A	TLE1
TLE1	HNF1A
SMARCE1	BRMS1
BRMS1	SMARCE1
SPCS2	NRN1
NRN1	SPCS2
VPS4B	STX18
STX18	VPS4B
SNRPD3	TRAP1
TRAP1	SNRPD3
GLUL	C1orf94
C1orf94	GLUL
HEATR3	CYLD
CYLD	HEATR3
PRKD3	CDC42EP3
CDC42EP3	PRKD3
TAB2	MAP3K7
NUP153	SMAD3
ACSS2	ALDH1B1
TACR1	LPCAT3
LPCAT3	TACR1
CELSR3	PCDHGB4
PCDHGB4	CELSR3
HEXIM2	HEXIM1
HEXIM1	HEXIM2
TTLL4	SLC11A1
SLC11A1	TTLL4
TRAF3	WDR5
WDR5	TRAF3
RAP1A	RAPGEF6
RAPGEF6	RAP1A
CTA-292E10.6	CCDC117
RP11-99E15.2	GPATCH2L
ATXN1	FAM193B
FAM193B	ATXN1
LRRC8B	LMBR1
LMBR1	LRRC8B
SNRPC	RPS10-NUDT3
RPS10-NUDT3	SNRPC
EIF4B	RPL38
RPL38	EIF4B
AURKA	HEATR5B
HEATR5B	AURKA
TTC29	PPIL4
PPIL4	TTC29
C2CD2L	DPAGT1
DPAGT1	C2CD2L
MAN2A1	MOGS
MOGS	MAN2A1
RAD50	LIG4
CSF2RB	SYK
SNRPD3	SF3B4
SF3B4	SNRPD3
MYO1C	AAK1
AAK1	MYO1C
ACTB	SMAD3
AP006216.5	PAFAH1B2
DLG1	EPB41
TAGLN	AGR2
AGR2	TAGLN
UBE2R2	UBAP1
UBAP1	UBE2R2
MOV10	THOC3
THOC3	MOV10
DNAH5	EIF4A2
EIF4A2	DNAH5
DDX17	SORBS3
LHX2	LGALSL
LGALSL	LHX2
RPAP2	GLMN
GLMN	RPAP2
RAC1	PLD1
STK11	RPAP3
RPAP3	STK11
DPPA4	TIGD5
TIGD5	DPPA4
FHL3	C1orf94
C1orf94	FHL3
DDX5	DGCR14
DGCR14	DDX5
CISH	PRKCQ
PRKCQ	CISH
EZH2	XPO1
XPO1	EZH2
DDX17	PABPC1
PABPC1	DDX17
TRIO	BLMH
SCARB1	APOA1
IGF2BP1	DDX47
DDX47	IGF2BP1
CLIP1	RP11-324E6.4
RP11-324E6.4	CLIP1
STK3	RASSF5
RASSF5	STK3
DNAJB1	TECR
TCF4	NEK6
NEK6	TCF4
PLEC	IQGAP1
IQGAP1	PLEC
SEC61B	MSANTD3-TMEFF1
MSANTD3-TMEFF1	SEC61B
SEC23A	CLEC14A
CLEC14A	SEC23A
BTRC	NFKB1
MYO5B	MYO18A
MYO18A	MYO5B
SPTBN1	TNIK
TNIK	SPTBN1
RPS6KA2	STK11
STK11	RPS6KA2
ULBP1	IGLL5
IGLL5	ULBP1
HSPD1	MRPL4
MRPL4	HSPD1
PPM1G	PABPC1
PABPC1	PPM1G
CRKL	CBL
YWHAB	MDM4
ZNF512B	ZBTB46
ZBTB46	ZNF512B
KRAS	URI1
URI1	KRAS
RPS3	SF3B2
SF3B2	RPS3
AC074363.1	XIRP2
PLCG2	ITK
PRKCA	CREM
EEF2	RPL11
RPL11	EEF2
FLNB	AKAP2
AKAP2	FLNB
CDKN2B-AS1	PLIN4
MCC	STRN
STRN	MCC
RELA	HEXIM1
CUL1	ANKRD28
ANKRD28	CUL1
SLC7A6	DPEP2
DPEP2	SLC7A6
CDKN1A	USHBP1
USHBP1	CDKN1A
DYNC1I1	MCC
CAPZA2	RBBP6
RBBP6	CAPZA2
EFNA5	HERPUD2
HERPUD2	EFNA5
SMAD4	ARID1B
ARID1B	SMAD4
TGFBR1	WDR33
CAPZA2	CORO1C
CORO1C	CAPZA2
GPRC5A	CHMP4B
CHMP4B	GPRC5A
ALDH3A1	ALDOA
ALDOA	ALDH3A1
TG	CANX
CBL	ASAP1
ASAP1	CBL
KEAP1	S1PR5
S1PR5	KEAP1
BAIAP2L1	CHMP4B
CHMP4B	BAIAP2L1
KIAA1549	TRIM24
TRIM24	KIAA1549
RP11-10L12.4	SLC39A8
PPP1R9B	PPP1CA
UNC45B	SLFN5
NRXN1	SYT6
CNR1	GNAI3
PIP4K2A	TMEM194A
TMEM194A	PIP4K2A
LEPR	LEPROT
LEPROT	LEPR
GNPNAT1	FHL2
SLC1A1	NDFIP1
NDFIP1	SLC1A1
CRKL	ERBB2
ERBB2	CRKL
GOLGA2	ZFP2
ZFP2	GOLGA2
ULK2	GABARAPL1
GABARAPL1	ULK2
POFUT1	KIF3B
KIF3B	POFUT1
RBBP8	SCOC
SCOC	RBBP8
CDKN2B-AS1	GJB2
SLAMF1	DSTYK
DSTYK	SLAMF1
HAGH	PRDX1
PRDX1	HAGH
NUP43	SEH1L
SEH1L	NUP43
BRAF	HDAC2
HDAC2	BRAF
FERMT2	FERMT3
FERMT3	FERMT2
SUGP2	MEF2B
MEF2B	SUGP2
CD9	CD81
SSTR2	GNA14
EPHA2	PIK3R2
FIG4	SNX27
SNX27	FIG4
COL4A3	DCN
KAT5	LRIF1
LRIF1	KAT5
INPP5D	DOK2
C2orf73	RTN4
RTN4	C2orf73
ZMYM2	SNIP1
RUNX2	RB1
RB1	RUNX2
MEG3	RP11-123M6.2
RP11-123M6.2	MEG3
STK11	NUAK1
NUAK1	STK11
OLFML2B	SH2D1B
SH2D1B	OLFML2B
ACACA	MCC
MCC	ACACA
NEFM	NES
NES	NEFM
FOSL2	BRE
BRE	FOSL2
FAM181A-AS1	PRIMA1
MRPL46	MRPL42
MRPL42	MRPL46
CDH10	C5orf17
SORBS3	ANKS1A
ANKS1A	SORBS3
C1orf234	LUZP1
CLTCL1	CLINT1
CLINT1	CLTCL1
MCC	CYCS
CYCS	MCC
TRAF2	RIPK2
DNAJB6	LMBR1
LMBR1	DNAJB6
PRKACA	PKD1
ZNF638	KRT15
ANKRD28	BTD
BTD	ANKRD28
MAPK3	PCF11
PCF11	MAPK3
PVRL2	MDFI
C2orf88	NAB1
NAB1	C2orf88
RGS17	LCE5A
LCE5A	RGS17
RPL3	RPL24
RPL24	RPL3
EGFR	DCTN2
DCTN2	EGFR
SRSF6	YWHAG
YWHAG	SRSF6
PPP1R16B	ACTR5
NFX1	BAG1
TRAF3	ALPL
MTG1	ECHS1
ECHS1	MTG1
MYB	RBBP5
RBBP5	MYB
GLO1	IKBKE
IKBKE	GLO1
ILF2	NOLC1
NOLC1	ILF2
FAM126A	TOMM7
AC104801.1	SLC25A12
ERBB2	PTPN11
