TRIM29	CDK15
CDK15	TRIM29
CCNYL1	PLEKHM3
PLEKHM3	CCNYL1
CISD2	BDH2
APC	BUB3
BUB3	APC
JAKMIP2	TRIM29
TRIM29	JAKMIP2
SLC35F2	FAM134C
FAM134C	SLC35F2
WWP1	ILDR1
ILDR1	WWP1
BDKRB2	PRKCB
PRKCB	BDKRB2
SNRPB	IGF2BP3
IGF2BP3	SNRPB
P4HA2	RAVER1
RAVER1	P4HA2
GDF15	LSM4
LSM4	GDF15
NCK1	SYNJ2
SYNJ2	NCK1
MYO1C	SORBS2
SORBS2	MYO1C
IGF1R	EEA1
EEA1	IGF1R
RGS3	ZNF397
ZNF397	RGS3
MYO10	MYO19
MYO19	MYO10
SPINK2	ATP6V1D
ATP6V1D	SPINK2
OSBPL9	OSBPL11
OSBPL11	OSBPL9
PAX6	CTNNA3
CTNNA3	PAX6
PCNA	EEA1
EEA1	PCNA
AFF1	MLLT3
MLLT3	AFF1
TMC7	COQ7
RP11-74C1.4	TUFT1
PSTPIP1	BUB3
BUB3	PSTPIP1
SF1	RBM17
RBM17	SF1
DST	NFYC
NFYC	DST
C15orf38-AP3S2	ZNF710
ZNF710	C15orf38-AP3S2
KRAS	VWF
VWF	KRAS
ANXA2	FLNB
FLNB	ANXA2
ZBTB16	OSBPL3
OSBPL3	ZBTB16
CAMK2D	TTN
TTN	CAMK2D
NOX3	TFB1M
SMARCC1	SMARCE1
SMARCE1	SMARCC1
SEMA4B	ZNF710
ZNF710	SEMA4B
RP11-275N1.1	SKIDA1
GDF10	ZNF507
ZNF507	GDF10
CDC37	PDE4A
PDE4A	CDC37
SQSTM1	GTF3C3
GTF3C3	SQSTM1
TLK1	DPPA4
DPPA4	TLK1
THAP4	ACTBL2
ACTBL2	THAP4
ST8SIA4	SEMA4D
SEMA4D	ST8SIA4
PAX6	TLK1
TLK1	PAX6
NFKB1	REL
REL	NFKB1
CTNND1	SRC
SRC	CTNND1
TNPO1	YWHAZ
YWHAZ	TNPO1
FASLG	RGS20
RGS20	FASLG
RRBP1	TMPO
TMPO	RRBP1
DCLK1	CCDC169-SOHLH2
CCDC169-SOHLH2	DCLK1
ETS2	SMARCE1
SMARCE1	ETS2
TP53INP2	NCOA6
CD82	TSPAN18
ACTB	PLEKHG6
PLEKHG6	ACTB
LYN	FGFR1OP
FGFR1OP	LYN
PDXDC1	FAM174A
FAM174A	PDXDC1
QKI	PARK2
PARK2	QKI
ACTB	IGF2BP3
IGF2BP3	ACTB
CTC-432M15.3	CSF2
CSF2	CTC-432M15.3
LMO2	SOX5
SOX5	LMO2
RP11-110G21.1	RP11-546K22.1
RP11-546K22.1	RP11-110G21.1
MRPS27	MRPL22
MRPL22	MRPS27
IKZF1	MKLN1
CDH19	NCAPG
NCAPG	CDH19
YES1	CTNND1
TP63	IRX3
IRX3	TP63
SMARCC1	WWOX
WWOX	SMARCC1
PRKG1	RAP1GAP2
FAT1	PSG8
PSG8	FAT1
FASLG	IRF2
IRF2	FASLG
MAP1B	ATG10
ATG10	MAP1B
KDM2A	CABP2
CABP2	KDM2A
DOK3	LYN
GLRX3	MGMT
MGMT	GLRX3
SMIM20	STIM2
STIM2	SMIM20
RPL38	RPS24
RPS24	RPL38
SAP30	CPSF2
CPSF2	SAP30
ZSCAN4	TRAF3
ARID3A	UBE2E3
UBE2E3	ARID3A
YES1	GAB2
GAB2	YES1
PAXIP1	NCOA6
NCOA6	PAXIP1
MYO1C	LZTS2
LZTS2	MYO1C
RPL5	RPS6
RPS6	RPL5
EPS15	SH3BP4
SH3BP4	EPS15
IFNGR1	STAT4
STAT4	IFNGR1
ERBB4	NCK1
NCK1	ERBB4
ICAM3	PDE4A
PDE4A	ICAM3
LEF1	ALX4
ALDH1B1	AOX1
AOX1	ALDH1B1
NDUFS8	VAPA
VAPA	NDUFS8
FOXA2	MIPEP
MIPEP	FOXA2
CHRM3	PBXIP1
PBXIP1	CHRM3
NCAPG	LAP3
LAP3	NCAPG
BMPR1A	YES1
YES1	BMPR1A
KDM3A	MRPL35
CACNA1S	REL
REL	CACNA1S
ATRN	MGRN1
MGRN1	ATRN
CSGALNACT2	B3GAT3
OVOL1	SNX32
DNAH7	ANKRD44
ANKRD44	DNAH7
ALK	MAP3K5
MAP3K5	ALK
ATM	LIG4
CKAP2L	NT5DC4
NT5DC4	CKAP2L
RUNX3	TLE1
TLE1	RUNX3
ATM	PPP1CA
PPP1CA	ATM
FHL2	BARX2
BARX2	FHL2
LYST	YWHAZ
YWHAZ	LYST
CDKN2B-AS1	OTX2
GALNT1	GALNT13
GALNT13	GALNT1
RET	DOK5
SNORA26	SCFD2
PROM1	PLEKHA5
PLEKHA5	PROM1
CMTM6	DUSP10
CCDC6	FAM13C
FAM13C	CCDC6
PRKACB	VAPA
VAPA	PRKACB
BRAF	YWHAQ
IPO8	TSPAN11
TSPAN11	IPO8
NR2F2	SLC37A3
SLC37A3	NR2F2
MRPL19	MRPL17
MRPL17	MRPL19
EIF4E	KANK2
KANK2	EIF4E
IGF1R	GNB2L1
CAMK2D	SUMO1P1
SUMO1P1	CAMK2D
CDON	BOC
BOC	CDON
CPNE3	RMDN1
LASP1	RBPMS
RBPMS	LASP1
IMPA2	INPP4B
INPP4B	IMPA2
MAX	PFKP
PFKP	MAX
RP11-1103G16.1	PRKD1
CAPN3	DYSF
DYSF	CAPN3
CBL	NCOR1
NCOR1	CBL
LSM4	ZBTB10
ZBTB10	LSM4
ANAPC1	MERTK
HDAC4	SSX2IP
SSX2IP	HDAC4
KLF5	PIBF1
FRS2	LYZ
PLXNA4	EXOC4
EXOC4	PLXNA4
KDM4C	GLDC
GLDC	KDM4C
KIAA1211	MYO19
MYO19	KIAA1211
FTH1	GOLM1
PTCH1	SEMA6A
SEMA6A	PTCH1
PSG1	PSG8
PSG8	PSG1
ATP2B2	STEAP3
STEAP3	ATP2B2
NUAK1	CDC37
RUNX1	NCOR1
NCOR1	RUNX1
RP11-99J16__A.2	GNPAT
KRAS	PPP2CA
PIBF1	KANK2
KANK2	PIBF1
CSF2RB	STAT3
PRKD1	TFAP2A
TFAP2A	PRKD1
ADRB2	UBC
UBC	ADRB2
RUNX3	SMAD1
SMAD1	RUNX3
VEPH1	SMAD1
POLB	PLAT
LYN	BANK1
BANK1	LYN
COL8A1	RGS20
RGS20	COL8A1
RAB2A	DOCK6
DOCK6	RAB2A
SRC	FHIT
ZBTB25	TBC1D5
TBC1D5	ZBTB25
TNC	DEC1
DEC1	TNC
RTEL1-TNFRSF6B	ARFRP1
ARFRP1	RTEL1-TNFRSF6B
APC	RILPL1
RILPL1	APC
MITF	OTX2
OTX2	MITF
RHPN1	VPS28
VPS28	RHPN1
NINL	PANX1
PANX1	NINL
GOPC	SLC35F1
SLC35F1	GOPC
MRPL35	MRPS33
MRPS33	MRPL35
Y_RNA	YTHDF2
ALDH1B1	UEVLD
UEVLD	ALDH1B1
TBPL1	PMVK
PMVK	TBPL1
ETS1	CPLX2
CPLX2	ETS1
PPP3CA	BCL2
CPSF6	PPIL1
PPIL1	CPSF6
ACTN4	WNK1
WNK1	ACTN4
DGKG	PLCXD2
PLCXD2	DGKG
SETD7	NAA15
NAA15	SETD7
PTK2	STAT1
STAT1	PTK2
U2SURP	DDX41
DDX41	U2SURP
RPUSD4	CHMP4B
CHMP4B	RPUSD4
LYST	TNNI3
TNNI3	LYST
CD9	ITGA6
ITGA6	CD9
CDKN2B-AS1	PKD1L2
PKD1L2	CDKN2B-AS1
UBE2I	ZNF451
MAP2K4	TRIB1
TRIB1	MAP2K4
APP	YWHAZ
YWHAZ	APP
CDKN2B-AS1	COL23A1
BZW1	SPATS2L
SPATS2L	BZW1
STAC	YWHAZ
YWHAZ	STAC
CD4	RPS24
RPS24	CD4
RP4-717I23.3	CCDC18
CDH5	JUP
FBXW7	DLEC1
DLEC1	FBXW7
PAXIP1	CEP55
CEP55	PAXIP1
ANXA1	TGM2
MYH9	ARHGAP42
ARHGAP42	MYH9
KRAS	LNX1
LNX1	KRAS
FGFR4	CDH2
TFAP2A	KIT
SIGLEC1	TNR
TNR	SIGLEC1
RPL5	RRBP1
RRBP1	RPL5
NUDT21	TLE1
AC068499.10	IL12RB1
NCOA3	SOX9
SOX9	NCOA3
CRISPLD2	KIAA0513
KIAA0513	CRISPLD2
EDEM2	OMA1
OMA1	EDEM2
ACTN1	NCOA1
STK32C	TUBGCP2
TUBGCP2	STK32C
MYO1B	TMOD3
TMOD3	MYO1B
SNAI1	LATS2
LATS2	SNAI1
FBLN2	PRELP
PRELP	FBLN2
DIS3	MPHOSPH6
MPHOSPH6	DIS3
HNRNPD	RPS24
RPS24	HNRNPD
CEBPA	SMAD3
SMAD3	CEBPA
ANXA1	FRMD1
FRMD1	ANXA1
CBL	LYN
LYN	CBL
FLNB	SORBS2
SORBS2	FLNB
CLCN6	MTHFR
PCA3	GCNT1
HAS2	HAS3
HAS3	HAS2
SRC	TGM2
TGM2	SRC
LRRC4C	SLC39A11
SLC39A11	LRRC4C
NCK1	DROSHA
DROSHA	NCK1
IL21R	IL21
IL21	IL21R
PCBP1	QKI
SMNDC1	PREX1
PREX1	SMNDC1
FOSL1	SNX32
CSNK1G3	RNF11
RNF11	CSNK1G3
ADCY5	PDE7B
